video_path,label
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\real\000.mp4,0
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\real\001.mp4,0
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\real\002.mp4,0
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\real\003.mp4,0
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\real\004.mp4,0
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\real\005.mp4,0
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\fake\000_003.mp4,1
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\fake\001_870.mp4,1
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\fake\002_006.mp4,1
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\fake\003_000.mp4,1
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\fake\004_982.mp4,1
c:\7AN\Cading\deepfake-detector\data\raw\ffpp\fake\005_010.mp4,1
